worldID,basinID,basinX,basinY,basinZ,basinDefID,basinLatitude,basinBase,hillID,hillX,hillY,hillZ,hillDefID,hillgws,hillgwno3,hillBase,zoneID,zoneX,zoneY,zoneZ,zoneDefID,zoneArea,zoneSlope,zoneAspect,zoneIso,zoneEH,zoneWH,zoneBase,zoneBaseID,patchID,patchX,patchY,patchZ,patchsoilID,patchLandID,patchArea,patchSlope,patchLNA,patchKsat,patchMpar,patchRZstorage,patchUnsat,patchSat,patchSnowEZ,patchSnowZ,patchSnowT,patchSnowAge,patchSnowED,patchLittercfrac,patchLitterStorage,patchLitterc1,patchLittern1,patchLitterc2,patchLitterc3,patchLitterc4,patchsoilIDc1,patchsoilIDsminn,patchsoilIDNO3,patchsoilIDc2,patchsoilIDc3,patchsoilIDc4,patchBase,strateID,stratePlantID,stratecfrac,strateGap,strateRZ,strateSnowStored,strateRainStored,stratecpool,strateleafc,stratedleafc,strateleafcstore,strateleafctrans,stratelstemc,stratelstemcstore,stratelstemctrans,stratedstemc,stratedstemcstore,stratedstemctrans,stratelrootc,stratelrootcstore,stratelrootctrans,stratedrootc,stratedrootcstore,stratedrootctrans,stratefrootc,stratefrootcstore,stratefrootctrans,stratecwdc,strateEPVleafcalloc,stratenpool,strateleafn,stratedleafn,strateleafnstore,strateleafntrans,stratelstemn,stratelstemnstore,stratelstemntrans,stratedstemn,stratedstemnstore,stratedstemntrans,stratelrootn,stratelrootnstore,stratelrootntrans,stratedrootn,stratedrootnstore,stratedrootntrans,stratefrootn,stratefrootnstore,stratefrootntrans,stratecwdn,strateRetransn,epv_wstress_days,epv_max_fparabs,epv_min_vwc,strateBase
1,1,354037.9547,4371558.35192,170.48149,1,39.48125,0,1,355254.10714,4371440.14286,145.94929,1,0,0,0,101,355174.64286,4371535.71429,161.82585,1,75600,4.6069,311.61,1,0.0053224,0.044807,1,101,3383,355125,4371735,175.47258,9,2,900,3.1043,5.9809,1,0.12,0,0,0,0.28,0,-10,0,-0.5,1,0,0.0000001,0.0000001,0.0000002,0.0000003,0.0000004,0.0000001,0,0,0.0000002,2,6,0,1,102,1,0,1,0,0,0,0.127967,0,0,0,0.0410321,0,0,0.100507,0,0,0.00638277,0,0,0.0156345,0,0,0.152397,0,0,0,0.00639835,0,0.00464908,0,0,0,0.000205161,0,0,0.000301525,0,0,0.0000319139,0,0,0.0000469039,0,0,0.00419675,0,0,0,0,0,0,0,0
1,1,354037.9547,4371558.35192,170.48149,1,39.48125,0,1,355254.10714,4371440.14286,145.94929,1,0,0,0,101,355174.64286,4371535.71429,161.82585,1,75600,4.6069,311.61,1,0.0053224,0.044807,1,101,3384,355155,4371735,175.54356,9,2,900,2.4773,5.6549,1,0.12,0,0,0,0.28,0,-10,0,-0.5,1,0,0.0000001,0.0000001,0.0000002,0.0000003,0.0000004,0.0000001,0,0,0.0000002,2,6,0,2,102,1,0,1,0,0,0,0.127967,0,0,0,0.0410321,0,0,0.100507,0,0,0.00638277,0,0,0.0156345,0,0,0.152397,0,0,0,0.00639835,0,0.00464908,0,0,0,0.000205161,0,0,0.000301525,0,0,0.0000319139,0,0,0.0000469039,0,0,0.00419675,0,0,0,0,0,0,0,0
1,1,354037.9547,4371558.35192,170.48149,1,39.48125,0,1,355254.10714,4371440.14286,145.94929,1,0,0,0,101,355174.64286,4371535.71429,161.82585,1,75600,4.6069,311.61,1,0.0053224,0.044807,1,101,3492,355095,4371705,172.90518,9,2,900,3.699,5.977,1,0.12,0,0,0,0.28,0,-10,0,-0.5,1,0,0.0000001,0.0000001,0.0000002,0.0000003,0.0000004,0.0000001,0,0,0.0000002,2,6,0,3,102,1,0,1,0,0,0,0.127967,0,0,0,0.0410321,0,0,0.100507,0,0,0.00638277,0,0,0.0156345,0,0,0.152397,0,0,0,0.00639835,0,0.00464908,0,0,0,0.000205161,0,0,0.000301525,0,0,0.0000319139,0,0,0.0000469039,0,0,0.00419675,0,0,0,0,0,0,0,0
1,1,354037.9547,4371558.35192,170.48149,1,39.48125,0,1,355254.10714,4371440.14286,145.94929,1,0,0,0,101,355174.64286,4371535.71429,161.82585,1,75600,4.6069,311.61,1,0.0053224,0.044807,1,101,3493,355125,4371705,173.47114,9,2,900,4.2522,6.1485,1,0.12,0,0,0,0.28,0,-10,0,-0.5,1,0,0.0000001,0.0000001,0.0000002,0.0000003,0.0000004,0.0000001,0,0,0.0000002,2,6,0,4,102,1,0,1,0,0,0,0.127967,0,0,0,0.0410321,0,0,0.100507,0,0,0.00638277,0,0,0.0156345,0,0,0.152397,0,0,0,0.00639835,0,0.00464908,0,0,0,0.000205161,0,0,0.000301525,0,0,0.0000319139,0,0,0.0000469039,0,0,0.00419675,0,0,0,0,0,0,0,0
1,1,354037.9547,4371558.35192,170.48149,1,39.48125,0,1,355254.10714,4371440.14286,145.94929,1,0,0,0,101,355174.64286,4371535.71429,161.82585,1,75600,4.6069,311.61,1,0.0053224,0.044807,1,101,3494,355155,4371705,173.88456,9,2,900,3.8102,5.8476,1,0.12,0,0,0,0.28,0,-10,0,-0.5,1,0,0.0000001,0.0000001,0.0000002,0.0000003,0.0000004,0.0000001,0,0,0.0000002,2,6,0,5,102,1,0,1,0,0,0,0.127967,0,0,0,0.0410321,0,0,0.100507,0,0,0.00638277,0,0,0.0156345,0,0,0.152397,0,0,0,0.00639835,0,0.00464908,0,0,0,0.000205161,0,0,0.000301525,0,0,0.0000319139,0,0,0.0000469039,0,0,0.00419675,0,0,0,0,0,0,0,0
1,1,354037.9547,4371558.35192,170.48149,1,39.48125,0,1,355254.10714,4371440.14286,145.94929,1,0,0,0,101,355174.64286,4371535.71429,161.82585,1,75600,4.6069,311.61,1,0.0053224,0.044807,1,101,3495,355185,4371705,173.80069,9,2,900,3.2753,5.6628,1,0.12,0,0,0,0.28,0,-10,0,-0.5,1,0,0.0000001,0.0000001,0.0000002,0.0000003,0.0000004,0.0000001,0,0,0.0000002,2,6,0,6,102,1,0,1,0,0,0,0.127967,0,0,0,0.0410321,0,0,0.100507,0,0,0.00638277,0,0,0.0156345,0,0,0.152397,0,0,0,0.00639835,0,0.00464908,0,0,0,0.000205161,0,0,0.000301525,0,0,0.0000319139,0,0,0.0000469039,0,0,0.00419675,0,0,0,0,0,0,0,0
1,1,354037.9547,4371558.35192,170.48149,1,39.48125,0,1,355254.10714,4371440.14286,145.94929,1,0,0,0,101,355174.64286,4371535.71429,161.82585,1,75600,4.6069,311.61,1,0.0053224,0.044807,1,101,3496,355215,4371705,173.18253,9,2,900,2.8378,5.7241,1,0.12,0,0,0,0.28,0,-10,0,-0.5,1,0,0.0000001,0.0000001,0.0000002,0.0000003,0.0000004,0.0000001,0,0,0.0000002,2,6,0,7,102,1,0,1,0,0,0,0.127967,0,0,0,0.0410321,0,0,0.100507,0,0,0.00638277,0,0,0.0156345,0,0,0.152397,0,0,0,0.00639835,0,0.00464908,0,0,0,0.000205161,0,0,0.000301525,0,0,0.0000319139,0,0,0.0000469039,0,0,0.00419675,0,0,0,0,0,0,0,0
1,1,354037.9547,4371558.35192,170.48149,1,39.48125,0,1,355254.10714,4371440.14286,145.94929,1,0,0,0,101,355174.64286,4371535.71429,161.82585,1,75600,4.6069,311.61,1,0.0053224,0.044807,1,101,3601,355065,4371675,170.95616,9,2,900,3.2232,5.7298,1,0.12,0,0,0,0.28,0,-10,0,-0.5,1,0,0.0000001,0.0000001,0.0000002,0.0000003,0.0000004,0.0000001,0,0,0.0000002,2,6,0,8,102,1,0,1,0,0,0,0.127967,0,0,0,0.0410321,0,0,0.100507,0,0,0.00638277,0,0,0.0156345,0,0,0.152397,0,0,0,0.00639835,0,0.00464908,0,0,0,0.000205161,0,0,0.000301525,0,0,0.0000319139,0,0,0.0000469039,0,0,0.00419675,0,0,0,0,0,0,0,0
1,1,354037.9547,4371558.35192,170.48149,1,39.48125,0,1,355254.10714,4371440.14286,145.94929,1,0,0,0,101,355174.64286,4371535.71429,161.82585,1,75600,4.6069,311.61,1,0.0053224,0.044807,1,101,3602,355095,4371675,170.53737,9,2,900,4.9896,6.784,1,0.12,0,0,0,0.28,0,-10,0,-0.5,1,0,0.0000001,0.0000001,0.0000002,0.0000003,0.0000004,0.0000001,0,0,0.0000002,2,6,0,9,102,1,0,1,0,0,0,0.127967,0,0,0,0.0410321,0,0,0.100507,0,0,0.00638277,0,0,0.0156345,0,0,0.152397,0,0,0,0.00639835,0,0.00464908,0,0,0,0.000205161,0,0,0.000301525,0,0,0.0000319139,0,0,0.0000469039,0,0,0.00419675,0,0,0,0,0,0,0,0
1,1,354037.9547,4371558.35192,170.48149,1,39.48125,0,1,355254.10714,4371440.14286,145.94929,1,0,0,0,101,355174.64286,4371535.71429,161.82585,1,75600,4.6069,311.61,1,0.0053224,0.044807,1,101,3606,355215,4371675,171.02375,9,2,900,5.8835,5.7251,1,0.12,0,0,0,0.28,0,-10,0,-0.5,1,0,0.0000001,0.0000001,0.0000002,0.0000003,0.0000004,0.0000001,0,0,0.0000002,2,6,0,10,102,1,0,1,0,0,0,0.127967,0,0,0,0.0410321,0,0,0.100507,0,0,0.00638277,0,0,0.0156345,0,0,0.152397,0,0,0,0.00639835,0,0.00464908,0,0,0,0.000205161,0,0,0.000301525,0,0,0.0000319139,0,0,0.0000469039,0,0,0.00419675,0,0,0,0,0,0,0,0
